city_id,city_name,state_id,state_code,county_area
832,LIVE OAK,3,FL,Suwannee
833,LOIZA,11,PR,Loíza
834,LONGBOAT KEY,3,FL,Sarasota
835,LONGWOOD,3,FL,Seminole
836,LUQUILLO,11,PR,Luquillo
837,LUTZ,3,FL,Pasco
838,La Cygne,6,KS,"Linn, KS"
839,La Grange,14,TX,Fayette
840,La Russell,8,MO,Lawrence
841,La Salle,2,CO,Weld
842,La Vernia,14,TX,Wilson
843,Labadie,8,MO,Franklin
844,Lacygne,6,KS,"Linn, KS"
845,Ladue,8,MO,St Louis
846,Lafayette,2,CO,Boulder
847,Lafayette,13,TN,"Macon County, TN"
848,Lago Vista,14,TX,Travis
849,Lake Barrington,5,IL,Lake
850,Lake George,2,CO,Park
851,Lake Junaluska,10,NC,Haywood
852,Lake Lafayette,8,MO,Lafayette
853,Lake Lotawana,8,MO,Jackson
854,Lake Lure,10,NC,Rutherford
855,Lake Quivira,6,KS,"Johnson, KS"
856,Lake St Louis,8,MO,St Charles
857,Lake Tapps,15,WA,Pierce
858,Lake Toxaway,10,NC,Transylvania
859,Lake Waukomis,8,MO,Platte
860,Lake Winnebago,8,MO,Cass
861,Lake Wylie,12,SC,York
862,Lakeway,14,TX,Travis
863,Lakewood,2,CO,Jefferson
864,Lakewood,15,WA,Pierce
865,Lamar,8,MO,"Barton, MO"
866,Lampasas,14,TX,Burnet
867,Lancaster,12,SC,Lancaster
868,Lancaster,13,TN,"Smith County, TN"
869,Landis,10,NC,Rowan
870,Landrum,12,SC,Spartanburg
871,Lane,6,KS,Miami
872,Lansing,6,KS,Leavenworth
873,Lansing,10,NC,Ashe
874,Laporte,2,CO,Larimer
875,Larkspur,2,CO,Douglas
876,Lascassas,13,TN,"Wilson County, TN"
877,Lathrop,8,MO,Clinton
878,Laurel Park,10,NC,Henderson
879,Laurens,12,SC,Laurens
880,Lawndale,10,NC,Cleveland
881,Lawrenceburg,13,TN,"Lawrence County, TN"
882,Lawrence,6,KS,"Douglas, KS"
883,Lawson,8,MO,Ray
884,LeRoy,6,KS,Coffey
885,Leadville,2,CO,Lake
886,Leakey,14,TX,Real
887,Leander,14,TX,Williamson
888,Leavenworth,6,KS,Leavenworth
889,Leawood,6,KS,"Johnson, KS"
890,Lebanon,8,MO,Laclede
891,Lebanon,13,TN,"Wilson County, TN"
892,Lee's Summit,8,MO,Jackson
893,Leeton,8,MO,"Johnson, MO"
894,Leicester,10,NC,Buncombe
895,Lenexa,6,KS,"Johnson, KS"
896,Lenoir City,10,NC,Caldwell
897,Lenoir,10,NC,Caldwell
898,Leoma,13,TN,"Lawrence County, TN"
899,Lewisburg,13,TN,"Marshall County, TN"
900,Lewisville,10,NC,Forsyth
901,Lexington,8,MO,Lafayette
902,Lexington,10,NC,Davidson
903,Liberty Hill,12,SC,Kershaw
904,Liberty Hill,14,TX,Williamson
905,Liberty,8,MO,Clay
906,Liberty,13,TN,"Dekalb County, TN"
907,Lilesville,10,NC,Anson
908,Lincolnton,10,NC,Lincoln
909,Lincoln,8,MO,Benton
910,Lincoln,14,TX,Lee
911,Linden,13,TN,"Perry County, TN"
912,Linn Creek,8,MO,Camden
913,Linn Valley,6,KS,"Linn, KS"
914,Linville Falls,10,NC,McDowell
915,Linwood,6,KS,Leavenworth
916,Little Switzerland,10,NC,Mitchell
917,Littleton,2,CO,Jefferson
918,Livermore,2,CO,Larimer
919,Livingston,5,IL,Madison-IL
920,Livingston,13,TN,"Overton County, TN"
921,Llano,14,TX,Llano
922,Lobelville,13,TN,"Perry County, TN"
923,Lochbuie,2,CO,Adams
924,Lockhart,14,TX,Caldwell
925,Locust,10,NC,Cabarrus
926,Lometa,14,TX,Lampasas
