location_id,location_code,location_name,location_type,area,city,state_code,country,latitude,longitude
65,USNCCINHHOVCNH,Spencer,city,,Spencer,NC,US,35.695472,-80.435383
66,USNCCIHCYDUMBU,Faith,city,,Faith,NC,US,35.587154,-80.46570527
67,USNCCIONFBGFAS,Mount Pleasant,city,,Mount Pleasant,NC,US,35.40187383,-80.432817
68,USNCCILOLEBEPW,Statesville,city,,Statesville,NC,US,35.785234,-80.88197
69,USNCCIBJEELLOQ,Woodleaf,city,,Woodleaf,NC,US,35.760664,-80.584608
70,USNCCIQMCNIAED,Denton,city,,Denton,NC,US,35.62033739,-80.203396
71,USNCCIDAHXXZGN,Mooresville,city,,Mooresville,NC,US,35.57918369,-80.8506165
72,USNCNBIMUFFUPK,NONE,neighborhood,,Salisbury,NC,US,35.668021,-80.463147
73,USNCNBXNPHWSMR,COUNTRY CLUB HILLS,neighborhood,,Salisbury,NC,US,35.705934525,-80.473234925
74,USNCNBQYXHBRRQ,SUMMERFIELD,neighborhood,,Salisbury,NC,US,35.654426,-80.5404575
75,USNCNBSCAMBRBH,CAMERON GLEN,neighborhood,,Salisbury,NC,US,35.672770445,-80.54629096
76,USNCNBYMYCRRZM,HIDDEN CREEK,neighborhood,,Salisbury,NC,US,35.707221454999996,-80.502069
77,USMOARVSGMAYVT,Lawrence,area,Lawrence,,MO,US,37.19767501,-93.98079814
78,USKSARVMRBYUBR,Lyon,area,Lyon,,KS,US,38.3961334,-96.18293548
79,USALARPVFWNVKM,"Madison County, AL",area,"Madison County, AL",,AL,US,34.95657963,-86.77794976
80,USMOARFHMNNQXU,Maries,area,Maries,,MO,US,38.043031,-92.086807
81,USOKARFOELZVBE,Pawnee,area,Pawnee,,OK,US,36.15979404,-96.80700961
82,USMOARRCNEUEDL,Perry,area,Perry,,MO,US,37.693639,-89.590641
83,USMOARVEEWSLZL,St. Louis,area,St. Louis,,MO,US,38.04645373,-93.70270413
84,USMOARBDFXGPJY,Stone,area,Stone,,MO,US,36.643002,-93.364215
85,USKSARJMNPWVIE,Sumner,area,Sumner,,KS,US,37.476608,-97.369358
86,USKSARXFDDPTSY,Thomas,area,Thomas,,KS,US,39.37983,-101.069239
87,USMOARKLYUTAUP,Jackson,area,Jackson,,MO,US,39.019459999999995,-94.4674535
88,USTNARRGUAHWIE,"Montgomery County, TN",area,"Montgomery County, TN",,TN,US,36.57113786,-87.34829988499999
89,USTNARKTBWVAHU,"Wilson County, TN",area,"Wilson County, TN",,TN,US,36.23075381,-86.35749515
90,USMOARYTSZYINX,Cass,area,Cass,,MO,US,38.80089262,-94.482369
91,USTNARIQJZNRPM,"Stewart County, TN",area,"Stewart County, TN",,TN,US,36.550796315,-87.849261445
92,USKSARQXJJNZFC,Allen,area,Allen,,KS,US,37.9297475,-95.4039515
93,USCOARGDATOESA,Logan,area,Logan,,CO,US,40.624756649999995,-103.21372
94,USTNARXVTZHURS,"Perry County, TN",area,"Perry County, TN",,TN,US,35.69715799,-87.79313506
95,USILARQCGZNUIN,Du Page,area,Du Page,,IL,US,41.8992122,-87.9420239
96,USCONBSMWWLECW,Ash Grove,neighborhood,Adams,Thornton,CO,US,39.92699,-104.91693
97,USCONBQTZNYCII,Brantner Village,neighborhood,Adams,Thornton,CO,US,39.92376364,-104.89438099
98,USCONBBSUFBEMQ,BRIAR RIDGE FILING 1,neighborhood,Adams,Thornton,CO,US,39.90919,-104.938419
99,USCONBIOJZGGVZ,Deer Run,neighborhood,Adams,Thornton,CO,US,39.9248494,-104.92675369
100,USCONBMNANFMMQ,DEER RUN PLANNED UNIT DEVELOPMENT,neighborhood,Adams,Thornton,CO,US,39.92116,-104.928003
101,USCONBIPQKRXIW,Fallbrook Subdivision,neighborhood,Adams,Thornton,CO,US,39.95138339,-104.94069122
