city_id,city_name,state_id,state_code,county_area
920,King City,8,MO,Gentry
921,Kings Mountain,10,NC,Cleveland
922,Kingsbury,14,TX,Guadalupe
923,Kingsland,14,TX,Llano
924,Kingston Springs,13,TN,"Cheatham County, TN"
925,Kingsville,8,MO,"Johnson, MO"
926,King,10,NC,Stokes
927,Kinston,10,NC,Lenoir
928,Kiowa,2,CO,Elbert
929,Kirkland,16,WA,King
930,Kit Carson,2,CO,Cheyenne
931,Kittredge,2,CO,Jefferson
932,Knob Noster,8,MO,"Johnson, MO"
933,Knoxville,13,TN,"Knox County, TN"
934,Kodak,13,TN,"Sevier County, TN"
935,Kyle,14,TX,Hays
936,LA VERGNE,13,TN,"Rutherford County, TN"
937,LABELLE,3,FL,Hendry
938,LADY LAKE,3,FL,Lake
939,LAJAS,11,PR,Lajas
940,LAKE ALFRED,3,FL,Polk
941,LAKE BUTLER,3,FL,Union
942,LAKE CITY,3,FL,Columbia
943,LAKE HAMILTON,3,FL,Polk
944,LAKE MARY,3,FL,Seminole
945,LAKE PANASOFFKEE,3,FL,Sumter
946,LAKE PLACID,3,FL,Highlands
947,LAKE WALES,3,FL,Polk
948,LAKELAND,3,FL,Polk
949,LAKESHORE,3,FL,Polk
950,LAKEWOOD RANCH,3,FL,Manatee
951,LAND O LAKES,3,FL,Pasco
952,LARGO,3,FL,Pinellas
953,LECANTO,3,FL,Citrus
954,LEESBURG,3,FL,Lake
955,LEE,3,FL,Madison
956,LEHIGH ACRES,3,FL,Lee
957,LIMESTONE,13,TN,Other County
958,LITHIA,3,FL,Hillsborough
959,LIVE OAK,3,FL,Suwannee
960,LOIZA,11,PR,Loíza
961,LONGBOAT KEY,3,FL,Sarasota
962,LONGWOOD,3,FL,Seminole
963,LUQUILLO,11,PR,Luquillo
964,LUTZ,3,FL,Pasco
965,La Conner,16,WA,Skagit
966,La Cygne,6,KS,"Linn, KS"
967,La Fayette,4,GA,"Walker County, GA"
968,La Follette,13,TN,"Campbell County, TN"
969,La Grange,14,TX,Fayette
970,La Monte,8,MO,Pettis
971,La Russell,8,MO,Lawrence
972,La Salle,2,CO,Weld
973,La Vernia,14,TX,Wilson
974,Labadie,8,MO,Franklin
975,Lacygne,6,KS,"Linn, KS"
976,Ladue,8,MO,St Louis
977,Lafayette,2,CO,Boulder
978,Lafayette,13,TN,"Macon County, TN"
979,Lago Vista,14,TX,Travis
980,Lake Barrington,5,IL,Lake
981,Lake Forest,5,IL,Lake
982,Lake George,2,CO,Park
983,Lake Junaluska,10,NC,Haywood
984,Lake Lafayette,8,MO,Lafayette
985,Lake Lotawana,8,MO,Jackson
986,Lake Lure,10,NC,Rutherford
987,Lake Ozark,8,MO,Miller
988,Lake Quivira,6,KS,"Johnson, KS"
989,Lake St Louis,8,MO,St Charles
990,Lake Tapps,16,WA,Pierce
991,Lake Toxaway,10,NC,Transylvania
992,Lake Waukomis,8,MO,Platte
993,Lake Winnebago,8,MO,Cass
994,Lake Wylie,12,SC,York
995,Lake Zurich,5,IL,Lake
996,Lakebay,16,WA,Pierce
997,Lakeway,14,TX,Travis
998,Lakewood,2,CO,Jefferson
999,Lakewood,16,WA,Pierce
1000,Lamar,8,MO,"Barton, MO"
1001,Lampasas,14,TX,Lampasas
1002,Lancaster,12,SC,Lancaster
1003,Lancaster,13,TN,"Dekalb County, TN"
1004,Landis,10,NC,Rowan
1005,Landrum,12,SC,Spartanburg
1006,Lane,6,KS,Miami
1007,Lansing,6,KS,Leavenworth
1008,Lansing,10,NC,Ashe
1009,Laporte,2,CO,Larimer
1010,Larkspur,2,CO,Douglas
1011,Lascassas,13,TN,"Wilson County, TN"
1012,Lathrop,8,MO,Caldwell
1013,Laurel Park,10,NC,Henderson
1014,Laurel Springs,10,NC,Ashe
1015,Laurens,12,SC,Laurens
1016,Laurinburg,10,NC,Scotland
1017,Lawndale,10,NC,Cleveland
1018,Lawrenceburg,13,TN,"Lawrence County, TN"
1019,Lawrence,6,KS,"Douglas, KS"
1020,Lawson,8,MO,Ray
1021,LeRoy,6,KS,Coffey
1022,Leadville,2,CO,Lake
1023,Leakey,14,TX,Real
1024,Leander,14,TX,Williamson
1025,Leavenworth,6,KS,Leavenworth
1026,Leavenworth,16,WA,Chelan
